Valor,Fecha/Hora,Nivel (cm),Flujo (l/s),Hora
1,29.11.2025 12:40,693.0,60426.5,12:40:00
2,29.11.2025 12:42,263.0,14126.2,12:42:00
3,29.11.2025 12:42,533.8,40849.1,12:42:00
4,29.11.2025 12:42,533.8,40849.1,12:42:00
5,29.11.2025 12:42,533.8,40849.1,12:42:00
6,29.11.2025 12:42,533.8,40849.1,12:42:00
7,29.11.2025 12:43,807.3,75972.9,12:43:00
8,29.11.2025 16:59,714.5,63257.5,16:59:00
9,29.11.2025 16:59,900.4,89477.7,16:59:00
10,29.11.2025 17:00,333.3,20155.9,17:00:00
11,29.11.2025 17:00,710.6,62740.3,17:00:00
12,29.11.2025 17:00,526.0,39954.8,17:00:00
13,29.11.2025 17:00,867.1,84573.0,17:00:00
14,29.11.2025 17:00,1000.0,104734.6,17:00:00
15,29.11.2025 17:00,444.7,31057.2,17:00:00
16,29.11.2025 17:01,444.7,31057.2,17:01:00
17,29.11.2025 17:01,444.7,31057.2,17:01:00
18,29.11.2025 17:01,444.7,31057.2,17:01:00
19,29.11.2025 17:01,444.7,31057.2,17:01:00
20,29.11.2025 17:01,444.7,31057.2,17:01:00
21,29.11.2025 17:01,444.7,31057.2,17:01:00
22,29.11.2025 17:02,444.7,31057.2,17:02:00
23,29.11.2025 17:02,444.7,31057.2,17:02:00
